AppID,Game Name,Release Date,Price ($),Action,Adventure,Casual,Early Access,Free To Play,Gore,Indie,Massively Multiplayer,Nudity,RPG,Racing,Sexual Content,Simulation,Sports,Strategy,Violent,Developer_Alister Software,Developer_Choice of Games,Developer_Daedalic Entertainment,Developer_Easy game,Developer_Other,Developer_RewindApp,Developer_Ronimo Games,Developer_U-ROOM,Years Since Release,Original_Recommendations,Log_Recommendations,Standardized_Recommendations
1586880,Essays on Empathy,2021-05-18,0.21008403361344538,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.16666666666666666,147,4.997212273764115,4.832750076430993e-05
1102130,Florence,2020-02-13,0.09243697478991596,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.2222222222222222,11715,9.368710707947624,0.012201643345145554
2761610,Creator of Another World,2024-04-30,0.3109243697478991,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,181,5.204006687076795,8.404782741619119e-05
951750,I Am Dead,2020-10-08,0.32773109243697474,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.2222222222222222,345,5.846438775057725,0.0002563458736193831
1458930,Meridian 157: Chapter 2,2020-12-09,0.07563025210084033,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.2222222222222222,164,5.10594547390058,6.618766409025056e-05
201480,Serious Sam: The Random Encounter,2011-10-24,0.07563025210084033,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.7222222222222222,632,6.450470422144176,0.000557867454474969
1040230,Curious Expedition 2,2021-01-28,0.32773109243697474,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,0.16666666666666666,3424,8.138856750696325,0.003491136631300041
1083650,Super Naughty Maid,2019-05-31,0.26050420168067223,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.2777777777777778,254,5.541263545158426,0.00016074146993346562
738520,Breathedge,2021-02-25,0.41176470588235287,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.16666666666666666,12835,9.460009002229748,0.01337831292897223
1650810,Loopmancer,2022-07-13,0.41176470588235287,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.1111111111111111,445,6.100318952020064,0.0003614056578896221
798850,Achievement Lurker: Easiest Cosmetic Numbers,2018-03-21,0.025210084033613446,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.3333333333333333,111,4.718498871295094,1.0505978427023899e-05
1271300,Methods: The Detective Competition,2020-06-01,0.32773109243697474,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.2222222222222222,500,6.2166061010848646,0.0004191885392382535
826010,JQ: chemistry,2018-04-09,0.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.3333333333333333,130,4.875197323201151,3.0467337438369298e-05
1131920,LABYRINTH OF TOUHOU - GENSOKYO AND THE HEAVEN-PIERCING TREE,2021-08-23,0.49579831932773105,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.16666666666666666,307,5.730099782973574,0.0002164231555966923
838990,Endhall,2018-12-04,0.04201680672268908,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.3333333333333333,106,4.672828834461906,5.252989213511949e-06
242820,140,2013-10-16,0.07563025210084033,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.611111111111111,1938,7.569927655242652,0.0019299482370442901
1872860,Conrad Stevenson's Paranormal P.I.,2023-09-28,0.2436974789915966,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.05555555555555555,803,6.6895992691789665,0.0007375196855770776
441440,Sometimes Always Monsters,2020-04-02,0.32773109243697474,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.2222222222222222,118,4.77912349311153,1.786016332594063e-05
860910,Hentai 3018,2018-05-31,0.008403361344537815,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.3333333333333333,980,6.8885724595653635,0.0009234755037354006
1551520,Kamikaze Kommittee Ouka 2,2022-02-04,0.2436974789915966,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.1111111111111111,134,4.90527477843843,3.466972880917886e-05
706490,Little hidden city,2018-02-28,0.008403361344537815,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.3333333333333333,209,5.3471075307174685,0.00011346456701185809
1291790,Lakeview Cabin 2,2023-10-19,0.226890756302521,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.05555555555555555,488,6.192362489474872,0.00040658136512582485
1496590,Tchia,2024-03-21,0.2857142857142857,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,221,5.402677381872279,0.00012607174112428678
1068150,Dual Family I - IX,2019-09-16,0.1092436974789916,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.2777777777777778,169,5.135798437050262,7.144065330376252e-05
702670,Donut County,2018-08-28,0.21008403361344538,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.3333333333333333,8863,9.089753408987065,0.00920533829775834
466810,Soulslayer～灭魂·误佳期～,2017-07-13,0.15966386554621848,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.38888888888888884,563,6.335054251498059,0.0004853762033285041
